State,Year,Acres (Human),Acres (Lightning),Acres (Total),Fires (Human),Fires (Lightning),Fires (Total)
Alabama,2018,15463.8,0,15463.8,970,0,970
Alaska,2018,28946,381737,410683,229,138,367
Arizona,2018,86434,78922,165356,1364,636,2000
Arkansas,2018,22766,1305,24071,1110,9,1119
California,2018,1706045.7,117107.5,1823153,7749,305,8054
Colorado,2018,358792,117011,475803,502,826,1328
Connecticut,2018,40,0,40,52,0,52
Delaware,2018,0,0,0,0,0,0
Florida,2018,74279,64541,138820,1961,288,2249
Georgia,2018,13609,627,14236,2500,72,2572
Hawaii,2018,21979,0,21979,3,0,3
Idaho,2018,215816,388665,604481,803,329,1132
Illinois,2018,120,0,120,6,0,6
Indiana,2018,115,0,115,26,0,26
Iowa,2018,8014,0,8014,386,0,386
Kansas,2018,57691,1543,59234,64,7,71
Kentucky,2018,8352,65,8417,375,1,376
Louisiana,2018,9469,1273,10742,637,10,647
Maine,2018,625,53,678,521,21,542
Maryland,2018,358,1,359,73,3,76
Massachusetts,2018,210,0,210,320,0,320
Michigan,2018,3521,265,3786,416,15,431
Minnesota,2018,17004,1,17005,1337,7,1344
Mississippi,2018,21193,1,21194,1167,1,1168
Missouri,2018,6004,21,6025,102,1,103
Montana,2018,18911,78903,97814,915,427,1342
Nebraska,2018,115,7,122,32,3,35
Nevada,2018,600278,401688,1001966,361,288,649
New Hampshire,2018,61,0,61,143,2,145
New Jersey,2018,1347,0,1347,625,0,625
New Mexico,2018,220702.5,161642,382344.5,733,601,1334
New York,2018,818,30,848,103,6,109
North Carolina,2018,17812,246,18058,3590,35,3625
North Dakota,2018,19312,245,19557,1002,24,1026
Ohio,2018,337,0,337,67,0,67
Oklahoma,2018,745046.4,51,745097.4,1706,1,1707
Oregon,2018,329720.3,567542.4,897262.7,1330,689,2019
Pennsylvania,2018,3613,1,3614,1273,3,1276
Rhode Island,2018,14,0,14,32,0,32
South Carolina,2018,9863.2,75.8,9939,1116,20,1136
South Dakota,2018,4405,622,5027,366,67,433
Tennessee,2018,3752,11,3763,339,2,341
Texas,2018,376093,193718,569811,10017,524,10541
Utah,2018,157482,281501,438983,695,638,1333
Vermont,2018,112,1,113,57,2,59
Virginia,2018,15182,42,15224,1256,10,1266
Washington,2018,279857.7,158976,438833.7,1456,287,1743
West Virginia,2018,6370,0,6370,467,0,467
Wisconsin,2018,1677,1,1678,816,9,825
Wyoming,2018,150681.6,128561.1,279242.7,410,201,611
